Ref	x	y	Connectivity	Point First Moment	Point Second Moment
1048613	1.28	6.28	225	96.369446	56.9408
1048614	1.28	6.32	222	101.70502	63.504002
1048615	1.28	6.36	221	108.27577	70.984001
1048616	1.28	6.4	219	114.38089	78.006401
1048621	1.28	6.6	132	68.690628	51.454399
1048622	1.28	6.64	207	143.63159	142.1248
1048623	1.28	6.68	371	499.48904	1044.0352
1048624	1.28	6.72	248	227.57787	347.01279
1048625	1.28	6.76	149	69.554604	45.5952
1048626	1.28	6.8	136	66.618172	44.636799
1048627	1.28	6.84	145	73.476318	49.832001
1048628	1.28	6.88	121	56.253052	35.812801
1048629	1.28	6.92	142	63.874481	36.979198
1048630	1.28	6.96	162	71.059273	39.633598
1048631	1.28	7	135	52.015049	25.959999
1048632	1.28	7.04	148	51.471992	23.6224
1048633	1.28	7.08	166	55.420589	23.856001
1048634	1.28	7.12	234	88.156425	42.119999
1048635	1.28	7.16	228	84.057312	39.763199
1048636	1.28	7.2	175	53.544636	21.0256
1048637	1.28	7.24	147	40.873219	14.9568
1048638	1.28	7.28	139	37.449818	13.4544
1048639	1.28	7.32	138	36.900146	13.3536
1048640	1.28	7.36	138	37.113739	13.7744
1048641	1.28	7.4	138	37.787434	14.6288
1048642	1.28	7.44	139	39.226917	16.0128
1048643	1.28	7.48	139	40.738644	17.683201
1048644	1.28	7.52	141	43.232285	19.915199
1048645	1.28	7.56	146	47.168365	22.915199
1048646	1.28	7.6	162	55.673046	28.040001
1048647	1.28	7.64	201	78.53611	41.547199
1048648	1.28	7.68	229	95.11747	51.694401
1048649	1.28	7.72	189	79.816925	45.9072
1048650	1.28	7.76	151	68.058823	42.790401
1114120	1.32	5.12	182	70.116104	38.315201
1114121	1.32	5.16	195	67.469933	32.398399
1114122	1.32	5.2	226	87.010475	49.745602
1114123	1.32	5.24	212	73.673073	38.233601
1114124	1.32	5.28	179	47.304089	16.1472
1114125	1.32	5.32	168	41.540936	12.8416
1114126	1.32	5.36	164	40.57835	12.3152
1114127	1.32	5.4	157	39.820122	12.3136
1114128	1.32	5.44	152	40.880169	13.3136
1114129	1.32	5.48	147	42.7761	14.8096
1114131	1.32	5.56	208	102.36168	62.4352
1114132	1.32	5.6	215	98.448242	56.524799
1114133	1.32	5.64	220	94.703163	51.3232
1114134	1.32	5.68	226	93.009445	47.881599
1114135	1.32	5.72	231	91.326996	44.980801
1114136	1.32	5.76	231	87.690491	41.439999
1114137	1.32	5.8	232	85.2547	38.852798
1114138	1.32	5.84	231	82.473885	36.476799
1114139	1.32	5.88	230	80.176353	34.614399
1114140	1.32	5.92	232	79.473091	33.911999
1114141	1.32	5.96	428	428.37463	881.52478
1114142	1.32	6	443	466.76746	991.65601
1114143	1.32	6.04	228	80.650223	36.6912
1114144	1.32	6.08	227	81.790878	38.337601
1114145	1.32	6.12	226	83.452751	40.443199
1114146	1.32	6.16	226	87.262276	44.952
1114147	1.32	6.2	225	90.326309	48.636799
1114148	1.32	6.24	224	95.340904	54.867199
1114149	1.32	6.28	222	99.427879	59.774399
1114150	1.32	6.32	222	106.40266	68.003197
1114151	1.32	6.36	222	113.03217	75.639999
1114152	1.32	6.4	220	118.75793	82.367996
1114157	1.32	6.6	125	66.421387	51.248001
1114158	1.32	6.64	194	119.09392	99.211197
1114159	1.32	6.68	381	495.27811	1013.448
1114160	1.32	6.72	222	153.69417	154.79201
1114161	1.32	6.76	134	62.4729	41.855999
1114162	1.32	6.8	122	56.932026	37.403198
1114163	1.32	6.84	125	57.596317	35.848
1114164	1.32	6.88	132	61.76355	37.944
1114165	1.32	6.92	163	75.791054	45.419201
1114166	1.32	6.96	188	88.060272	53.433601
1114167	1.32	7	162	75.290657	48.504002
1114168	1.32	7.04	159	62.77639	36.352001
1114169	1.32	7.08	164	54.729908	23.6304
1114170	1.32	7.12	235	87.942726	41.4688
1114171	1.32	7.16	230	84.276009	39.302399
1114172	1.32	7.2	175	53.388916	20.937599
1114173	1.32	7.24	150	41.781322	15.2704
1114174	1.32	7.28	141	38.018353	13.6176
1114175	1.32	7.32	138	36.92532	13.3728
1114176	1.32	7.36	139	37.527416	13.944
1114177	1.32	7.4	137	37.50066	14.5472
1114178	1.32	7.44	138	38.960922	15.9424
1114179	1.32	7.48	139	40.888668	17.775999
1114180	1.32	7.52	141	43.463345	20.073601
1114181	1.32	7.56	146	47.31134	23.032
1114182	1.32	7.6	161	55.668659	28.156799
1114183	1.32	7.64	202	78.641563	41.534401
1114184	1.32	7.68	229	95.039886	51.6432
1114185	1.32	7.72	190	80.14769	46.019199
1114186	1.32	7.76	150	67.770378	42.707199
1179656	1.36	5.12	170	59.568604	27.475201
1179657	1.36	5.16	186	59.43066	24.624001
1179658	1.36	5.2	221	82.084381	44.030399
1179659	1.36	5.24	201	63.314827	26.819201
1179660	1.36	5.28	166	43.148964	14.064
1179661	1.36	5.32	163	41.788754	13.2096
1179662	1.36	5.36	156	40.355309	12.848
1179663	1.36	5.4	150	40.130451	13.1568
1179664	1.36	5.44	148	42.268894	14.6064
1179665	1.36	5.48	149	46.076447	16.846399
1179677	1.36	5.96	427	424.7395	856.65277
1179678	1.36	6	380	441.20587	955.65277
1179693	1.36	6.6	86	36.484356	23.952
1179694	1.36	6.64	143	69.055405	47.563202
1179695	1.36	6.68	331	446.42902	954.2912
1179696	1.36	6.72	130	61.522186	45.057598
1179697	1.36	6.76	45	7.919024	1.8784
1179702	1.36	6.96	81	28.399715	14.1872
1179704	1.36	7.04	123	46.49823	22.419201
1179705	1.36	7.08	140	49.672371	22.854401
1179706	1.36	7.12	229	90.67083	47.7216
1179707	1.36	7.16	240	99.617096	58.9072
1179708	1.36	7.2	170	59.986076	32.6208
1179709	1.36	7.24	148	44.573105	19.1824
1179710	1.36	7.28	141	38.716789	13.8336
1179711	1.36	7.32	135	36.006298	12.6304
1179712	1.36	7.36	133	35.388229	12.6496
1179713	1.36	7.4	135	36.867722	13.8016
1179714	1.36	7.44	136	38.251236	15.0672
1179715	1.36	7.48	136	39.525829	16.363199
1179716	1.36	7.52	140	43.300285	19.3424
1179717	1.36	7.56	144	47.16922	22.382401
1179718	1.36	7.6	160	57.462002	29.382401
1179719	1.36	7.64	201	78.48597	41.177601
1179720	1.36	7.68	229	93.863861	50.284801
1179721	1.36	7.72	181	77.797424	45.487999
1179722	1.36	7.76	151	69.687874	43.947201
1245187	1.4	4.92	42	10.417987	3.576
1245188	1.4	4.96	42	9.2337847	2.9024
1245189	1.4	5	42	8.3405771	2.3664
1245190	1.4	5.04	45	8.9505377	2.4560001
1245191	1.4	5.08	58	12.344558	3.3296001
1245192	1.4	5.12	179	61.151897	26.8032
1245193	1.4	5.16	182	57.639931	23.233601
1245194	1.4	5.2	219	80.398125	41.292801
1245195	1.4	5.24	188	56.081787	21.0208
1245196	1.4	5.28	166	46.143532	15.8352
1245197	1.4	5.32	156	42.973881	14.5408
1245198	1.4	5.36	155	43.596321	14.9776
1245199	1.4	5.4	152	44.38921	15.704
1245200	1.4	5.44	149	45.984169	16.983999
1245201	1.4	5.48	149	49.333725	19.143999
1245213	1.4	5.96	289	362.39203	803.15997
1245214	1.4	6	296	401.52319	915.71838
1245230	1.4	6.64	88	25.849367	10.1696
1245231	1.4	6.68	327	434.84845	920.24957
1245232	1.4	6.72	86	26.045444	11.0544
1245238	1.4	6.96	50	16.939228	8.0640001
1245240	1.4	7.04	123	48.747078	23.927999
1245241	1.4	7.08	136	52.084644	25.0016
1245242	1.4	7.12	213	80.430267	38.1744
1245243	1.4	7.16	220	79.317871	35.936001
1245244	1.4	7.2	147	47.4258	19.7216
1245245	1.4	7.24	136	39.925068	14.8896
1245246	1.4	7.28	147	54.313828	34.947201
1245247	1.4	7.32	144	53.348759	36.188801
1245248	1.4	7.36	139	45.266205	25.497601
1245249	1.4	7.4	134	40.167675	18.913601
1245250	1.4	7.44	130	36.19965	13.2736
1245251	1.4	7.48	132	38.587986	15.2848
1245252	1.4	7.52	137	43.072994	18.7008
1245253	1.4	7.56	141	47.125225	21.857599
1245254	1.4	7.6	153	56.67968	28.5984
1245255	1.4	7.64	193	74.230766	38.187199
1245256	1.4	7.68	227	91.081612	47.9216
1245257	1.4	7.72	166	72.843925	42.150398
1245258	1.4	7.76	147	67.652451	40.462399
1310723	1.44	4.92	53	14.966986	5.8256001
1310724	1.44	4.96	58	15.419645	5.7168002
1310725	1.44	5	70	22.676468	11.5968
1310726	1.44	5.04	100	36.472126	19.1504
1310727	1.44	5.08	150	54.785149	25.799999
1310728	1.44	5.12	165	59.108219	26.041599
1310729	1.44	5.16	161	54.014061	22.3328
1310730	1.44	5.2	217	80.499725	40.547199
1310731	1.44	5.24	172	52.289356	19.625601
1310732	1.44	5.28	154	46.425999	17.024
1310733	1.44	5.32	154	46.648079	17.0928
1310734	1.44	5.36	151	46.328548	17.1136
1310735	1.44	5.4	150	47.680454	18.084801
1310736	1.44	5.44	149	49.8955	19.672001
1310737	1.44	5.48	149	53.050331	21.832001
1310749	1.44	5.96	268	347.24921	773.9776
1310750	1.44	6	272	384.58774	882.5072
1310767	1.44	6.68	339	432.88809	899.40961
1310774	1.44	6.96	54	16.141594	7.0144
1310778	1.44	7.12	149	54.254265	25.247999
1310779	1.44	7.16	143	49.218288	22.3328
1310792	1.44	7.68	144	46.916862	20.499201
1376259	1.48	4.92	59	21.449614	12.296
1376260	1.48	4.96	77	32.645191	20.784
1376261	1.48	5	78	30.294525	17.431999
1376262	1.48	5.04	75	26.076345	12.4912
1376264	1.48	5.12	31	7.9562602	2.7664001
1376265	1.48	5.16	42	10.491853	3.4463999
1376266	1.48	5.2	195	78.081009	40.409599
1376267	1.48	5.24	63	21.245878	10.696
1376283	1.48	5.88	88	32.133827	16.995199
1376284	1.48	5.92	112	60.299961	54.708801
1376285	1.48	5.96	263	336.78943	747.2912
1376286	1.48	6	284	378.37604	854.23041
1376287	1.48	6.04	89	32.786522	18.4624
1376288	1.48	6.08	82	26.918541	12.1744
1376303	1.48	6.68	345	424.33478	867.51038
1376308	1.48	6.88	32	6.0233135	1.5312001
1376309	1.48	6.92	44	10.319736	3.7823999
1376310	1.48	6.96	55	14.817451	6.0064001
1376311	1.48	7	33	6.6905565	1.832
1376312	1.48	7.04	81	24.144417	9.1728001
1376313	1.48	7.08	83	23.289831	8.5103998
1376314	1.48	7.12	142	48.784927	22.68
1376315	1.48	7.16	135	45.952545	21.291201
1376316	1.48	7.2	82	23.409365	8.7264004
1376317	1.48	7.24	80	23.538675	8.7872
1376319	1.48	7.32	71	18.672298	5.9136
1376320	1.48	7.36	71	17.640558	5.4527998
1376321	1.48	7.4	71	17.111734	5.2224002
1376322	1.48	7.44	71	17.111734	5.2224002
1376323	1.48	7.48	71	17.640558	5.4527998
1376324	1.48	7.52	72	19.104965	6.1008
1376326	1.48	7.6	61	15.138167	4.6528001
1376327	1.48	7.64	102	32.652061	14.488
1376328	1.48	7.68	123	41.494232	19.455999
1376329	1.48	7.72	82	20.283421	6.1855998
1376330	1.48	7.76	62	15.90697	5.0528002
1441795	1.52	4.92	69	29.836424	19.060801
1441796	1.52	4.96	72	30.148283	18.6896
1441797	1.52	5	60	19.974895	10.0096
1441798	1.52	5.04	42	10.739431	4.6143999
1441800	1.52	5.12	34	8.0922527	2.9568
1441801	1.52	5.16	108	38.321426	17.4032
1441802	1.52	5.2	173	69.179703	35.827202
1441803	1.52	5.24	90	27.271202	10.3648
1441819	1.52	5.88	85	26.072828	11.5984
1441820	1.52	5.92	125	57.490608	45.028801
1441821	1.52	5.96	258	328.18991	722.13599
1441822	1.52	6	282	372.82413	833.58398
1441823	1.52	6.04	89	29.179459	15.4368
1441824	1.52	6.08	80	22.520805	8.5439997
1441837	1.52	6.6	249	258.19824	422.97119
1441838	1.52	6.64	291	354.75665	722.50879
1441839	1.52	6.68	350	418.0278	839.58081
1441840	1.52	6.72	296	341.0491	672.70239
1441841	1.52	6.76	243	264.82916	453.92801
1441844	1.52	6.88	33	5.3463125	1.1984
1441845	1.52	6.92	45	9.7776852	3.3487999
1441846	1.52	6.96	56	14.085178	5.3407998
1441847	1.52	7	34	5.8544292	1.424
1441848	1.52	7.04	84	22.699131	7.8495998
1441849	1.52	7.08	91	23.144194	7.7184
1441850	1.52	7.12	135	46.039051	22.1248
1441851	1.52	7.16	130	43.464912	20.576
1441852	1.52	7.2	90	22.396355	7.3712001
1441853	1.52	7.24	80	21.188469	7.2816
1441855	1.52	7.32	71	16.617079	4.7616
1441856	1.52	7.36	71	15.479453	4.3007998
1441857	1.52	7.4	71	14.896123	4.0704002
1441858	1.52	7.44	71	14.896123	4.0704002
1441859	1.52	7.48	72	15.856812	4.4432001
1441860	1.52	7.52	72	17.017078	4.9215999
1441862	1.52	7.6	67	14.759789	4.0208001
1441863	1.52	7.64	102	33.809765	16.4272
1441864	1.52	7.68	114	39.028557	19.467199
1441865	1.52	7.72	80	17.924141	5.0240002
1441866	1.52	7.76	72	17.330088	5.1680002
1507331	1.56	4.92	55	19.384987	9.8304005
1507332	1.56	4.96	56	19.041708	9.6767998
1507333	1.56	5	49	14.817757	7.2416
1507334	1.56	5.04	34	5.1768894	1.1792001
1507335	1.56	5.08	47	11.980098	5.0911999
1507336	1.56	5.12	60	19.768717	9.4960003
1507337	1.56	5.16	82	30.850124	15.0352
1507338	1.56	5.2	187	70.128418	34.537601
1507339	1.56	5.24	83	25.144419	9.7600002
1507355	1.56	5.88	86	23.537201	9.1887999
1507356	1.56	5.92	128	52.324951	35.703999
1507357	1.56	5.96	255	320.36963	697.77917
1507358	1.56	6	279	364.2807	805.88641
1507359	1.56	6.04	97	30.145798	14.9648
1507360	1.56	6.08	79	19.716049	6.744
1507373	1.56	6.6	256	247.30463	393.91199
1507374	1.56	6.64	308	352.36646	700.72803
1507375	1.56	6.68	341	403.74146	806.86078
1507376	1.56	6.72	303	334.56653	648.84961
1507377	1.56	6.76	255	251.64864	414.01761
1507380	1.56	6.88	35	5.4053993	1.1328
1507381	1.56	6.92	44	8.8297749	2.8176
1507382	1.56	6.96	57	13.521199	4.7663999
1507383	1.56	7	33	4.8911719	0.98879999
1507384	1.56	7.04	89	22.59363	7.3856001
1507385	1.56	7.08	91	21.454315	6.7584
1507386	1.56	7.12	135	45.790794	22.7328
1507387	1.56	7.16	128	41.85854	20.1968
1507388	1.56	7.2	92	21.333698	6.5071998
1507389	1.56	7.24	87	21.345631	6.8000002
1507391	1.56	7.32	72	15.301398	3.9760001
1507392	1.56	7.36	71	13.714247	3.3792
1507393	1.56	7.4	71	13.088058	3.1487999
1507394	1.56	7.44	71	13.088058	3.1487999
1507395	1.56	7.48	72	14.058339	3.4976001
1507396	1.56	7.52	72	15.301398	3.9760001
1507398	1.56	7.6	69	14.38336	3.6847999
1507399	1.56	7.64	100	32.941559	16.7568
1507400	1.56	7.68	111	37.828407	19.6752
1507401	1.56	7.72	88	23.215038	9.2816
1507402	1.56	7.76	75	16.691599	4.5999999
1572869	1.6	5	106	33.540142	12.8672
1572870	1.6	5.04	107	30.979067	11.024
1572871	1.6	5.08	107	28.700459	9.6000004
1572872	1.6	5.12	107	26.962923	8.5248003
1572873	1.6	5.16	120	34.218254	13.8896
1572874	1.6	5.2	188	65.33342	31.360001
1572875	1.6	5.24	126	35.454872	15.08
1572876	1.6	5.28	111	28.607075	9.8479996
1572877	1.6	5.32	108	27.579021	8.8992004
1572878	1.6	5.36	107	28.906731	9.8079996
1572879	1.6	5.4	106	30.775557	11.08
1572880	1.6	5.44	105	33.095074	12.6864
1572891	1.6	5.88	92	23.914549	8.5551996
1572892	1.6	5.92	128	47.565628	28.489599
1572893	1.6	5.96	253	313.45911	674.4848
1572894	1.6	6	277	356.535	779.16479
1572895	1.6	6.04	102	29.904795	13.5808
1572896	1.6	6.08	80	18.453127	5.8000002
1572908	1.6	6.56	149	70.874908	50.177601
1572909	1.6	6.6	263	238.03102	367.18561
1572910	1.6	6.64	311	347.41339	684.33759
1572911	1.6	6.68	337	391.76797	775.95203
1572912	1.6	6.72	306	329.27002	629.23358
1572913	1.6	6.76	261	240.27705	382.0752
1572914	1.6	6.8	136	57.111465	34.755199
1572915	1.6	6.84	110	38.981159	18.876801
1572916	1.6	6.88	33	4.6216531	0.84640002
1572917	1.6	6.92	45	8.6902657	2.5616
1572918	1.6	6.96	58	13.140449	4.3056002
1572919	1.6	7	33	4.7784972	0.93120003
1572920	1.6	7.04	88	20.590557	6.1631999
1572921	1.6	7.08	90	19.80237	5.8304
1572922	1.6	7.12	132	44.50029	22.9568
1572923	1.6	7.16	126	40.586376	20.041599
1572924	1.6	7.2	93	20.631918	6.0528002
1572925	1.6	7.24	89	20.796692	6.2463999
1572927	1.6	7.32	74	14.837963	3.6256001
1572928	1.6	7.36	72	12.686926	2.7855999
1572929	1.6	7.4	71	11.717723	2.4576001
1572930	1.6	7.44	72	12.006167	2.5408001
1572931	1.6	7.48	73	13.112132	2.9663999
1572932	1.6	7.52	72	13.989435	3.2639999
1572934	1.6	7.6	72	14.727295	3.72
1572935	1.6	7.64	100	33.323078	17.944
1572936	1.6	7.68	107	36.607193	20.0128
1572937	1.6	7.72	93	27.004366	12.648
1572938	1.6	7.76	74	15.634545	4.1343999
1638405	1.64	5	104	30.228973	10.8096
1638406	1.64	5.04	104	27.305202	9.0383997
1638407	1.64	5.08	111	28.036549	9.1552
1638408	1.64	5.12	111	25.956234	7.8720002
1638409	1.64	5.16	132	36.346493	14.768
1638410	1.64	5.2	179	60.948643	29.4592
1638411	1.64	5.24	156	47.01733	20.636801
1638412	1.64	5.28	113	25.170645	7.4159999
1638413	1.64	5.32	110	25.870001	7.9439998
1638414	1.64	5.36	108	26.879467	8.6927996
1638415	1.64	5.4	106	28.628239	9.9055996
1638416	1.64	5.44	105	31.102196	11.4848
1638427	1.64	5.88	94	23.992495	8.4432001
1638428	1.64	5.92	125	43.138798	23.3424
1638429	1.64	5.96	253	307.89032	652.4176
1638430	1.64	6	278	352.75854	760.00641
1638431	1.64	6.04	104	29.407681	12.7568
1638432	1.64	6.08	81	18.045052	5.4768
1638444	1.64	6.56	144	57.998772	32.8368
1638445	1.64	6.6	266	227.04224	336.66241
1638446	1.64	6.64	314	341.94354	663.04962
1638447	1.64	6.68	333	380.26965	746.05762
1638448	1.64	6.72	307	322.71463	608.48962
1638449	1.64	6.76	273	236.95343	361.0416
1638450	1.64	6.8	133	50.103779	27.867201
1638451	1.64	6.84	104	31.712662	13.048
1638452	1.64	6.88	31	4.7147136	0.98879999
1638453	1.64	6.92	46	8.7453232	2.4096
1638454	1.64	6.96	59	12.948497	3.9807999
1638455	1.64	7	30	4.3493905	0.86720002
1638456	1.64	7.04	91	20.792582	6.0288
1638457	1.64	7.08	91	19.30509	5.4496002
1638458	1.64	7.12	131	44.178627	23.636801
1638459	1.64	7.16	125	39.764809	20.049601
1638460	1.64	7.2	93	19.760447	5.5423999
1638461	1.64	7.24	89	19.733002	5.5215998
1638463	1.64	7.32	73	13.555484	2.9935999
1638464	1.64	7.36	74	12.493398	2.5792
1638465	1.64	7.4	72	11.032143	2.0511999
1638466	1.64	7.44	73	11.423811	2.1984
1638467	1.64	7.48	72	11.758007	2.3072
1638468	1.64	7.52	75	14.467733	3.4159999
1638470	1.64	7.6	72	14.480923	3.6719999
1638471	1.64	7.64	97	32.189903	18.132799
1638472	1.64	7.68	105	36.462269	21.060801
1638473	1.64	7.72	95	29.151518	15.1136
1638474	1.64	7.76	76	15.959687	4.2495999
1703941	1.68	5	105	29.200998	10.1936
1703942	1.68	5.04	107	27.045214	8.8079996
1703943	1.68	5.08	109	25.14806	7.5455999
1703944	1.68	5.12	113	24.302929	6.8080001
1703945	1.68	5.16	153	46.73637	22.5776
1703946	1.68	5.2	174	57.118546	27.3424
1703947	1.68	5.24	160	49.564838	22.819201
1703948	1.68	5.28	114	23.127714	6.0447998
1703949	1.68	5.32	112	24.111921	6.7680001
1703950	1.68	5.36	108	25.181557	7.7375998
1703951	1.68	5.4	105	26.410864	8.5872002
1703952	1.68	5.44	102	27.662252	9.3168001
1703963	1.68	5.88	99	25.978851	9.4768
1703964	1.68	5.92	123	39.686211	19.396799
1703965	1.68	5.96	253	302.30261	630.64478
1703966	1.68	6	277	345.99835	734.73279
1703967	1.68	6.04	104	28.348246	11.6176
1703968	1.68	6.08	87	20.595198	6.816
1703980	1.68	6.56	142	52.088741	26.739201
1703981	1.68	6.6	272	220.76434	315.83359
1703982	1.68	6.64	319	339.36288	649.55042
1703983	1.68	6.68	332	371.40356	721.13599
1703984	1.68	6.72	310	321.1333	604.36481
1703985	1.68	6.76	273	226.19142	331.97281
1703986	1.68	6.8	131	44.717018	22.5264
1703987	1.68	6.84	101	27.331169	9.5696001
1703988	1.68	6.88	29	5.1940899	1.2464
1703989	1.68	6.92	38	6.1805968	1.3712
1703990	1.68	6.96	63	13.561599	3.9424
1703991	1.68	7	28	4.8462081	1.128
1703992	1.68	7.04	92	20.882935	6.0560002
1703993	1.68	7.08	96	20.797064	5.9583998
1703994	1.68	7.12	132	45.530884	25.5296
1703995	1.68	7.16	124	39.94175	21.1408
1703996	1.68	7.2	99	23.633528	8.4560003
1703997	1.68	7.24	90	19.842379	5.5408001
1703999	1.68	7.32	75	13.918261	3.0880001
1704000	1.68	7.36	74	12.024062	2.3408
1704001	1.68	7.4	75	11.386681	2.0527999
1704002	1.68	7.44	73	10.989633	1.9984
1704003	1.68	7.48	75	12.480132	2.5488
1704004	1.68	7.52	76	14.21991	3.1744001
1704006	1.68	7.6	76	17.451048	6.0079999
1704007	1.68	7.64	94	31.444889	18.5296
1704008	1.68	7.68	104	37.434654	22.972799
1704009	1.68	7.72	98	31.624578	17.375999
1704010	1.68	7.76	77	16.366362	4.5232
1769477	1.72	5	104	27.828571	9.3520002
1769478	1.72	5.04	107	26.115921	8.2687998
1769479	1.72	5.08	109	23.909519	6.8368001
1769480	1.72	5.12	115	23.969769	6.48
1769481	1.72	5.16	157	52.41098	30.694401
1769482	1.72	5.2	172	56.30455	27.428801
1769483	1.72	5.24	161	50.035015	23.524799
1769484	1.72	5.28	117	23.370098	6.0159998
1769485	1.72	5.32	111	22.800392	6.1040001
1769486	1.72	5.36	110	24.599094	7.2128
1769487	1.72	5.4	103	24.164181	7.2416
1769488	1.72	5.44	101	26.450563	8.6176004
1769499	1.72	5.88	99	26.225559	9.7440004
1769500	1.72	5.92	119	36.350471	16.476801
1769501	1.72	5.96	253	296.9805	609.47357
1769502	1.72	6	278	341.36322	712.56317
1769503	1.72	6.04	100	25.783735	9.8319998
1769504	1.72	6.08	89	21.901335	7.6575999
1769516	1.72	6.56	136	45.587566	21.0112
1769517	1.72	6.6	276	216.16621	300.0704
1769518	1.72	6.64	320	331.69208	625.56641
1769519	1.72	6.68	335	364.71262	695.82721
1769520	1.72	6.72	309	313.14508	582.6192
1769521	1.72	6.76	274	218.25392	310.328
1769522	1.72	6.8	130	41.241798	18.681601
1769523	1.72	6.84	96	24.043129	7.5888
1769524	1.72	6.88	32	6.4472461	1.7728
1769525	1.72	6.92	43	7.6804147	1.8559999
1769526	1.72	6.96	62	13.317303	3.8640001
1769527	1.72	7	32	6.3409433	1.704
1769528	1.72	7.04	99	23.866726	7.3807998
1769529	1.72	7.08	100	23.496498	8.1087999
1769530	1.72	7.12	134	46.609406	26.844801
1769531	1.72	7.16	126	41.599094	22.995199
1769532	1.72	7.2	102	26.495483	11.4896
1769533	1.72	7.24	90	19.942865	5.6431999
1769535	1.72	7.32	78	15.039348	3.5248001
1769536	1.72	7.36	78	13.208932	2.7456
1769537	1.72	7.4	78	12.398946	2.4128001
1769538	1.72	7.44	79	12.46011	2.3648
1769539	1.72	7.48	78	13.548032	2.9584
1769540	1.72	7.52	80	15.901108	3.9119999
1769542	1.72	7.6	80	21.251511	9.5472002
1769543	1.72	7.64	93	31.716228	19.288
1769544	1.72	7.68	106	39.049652	24.7792
1769545	1.72	7.72	102	34.570621	19.812799
1769546	1.72	7.76	80	18.046577	5.4335999
1835013	1.76	5	101	26.05162	8.3039999
1835014	1.76	5.04	107	25.628706	7.8592
1835015	1.76	5.08	111	24.651609	7.1184001
1835016	1.76	5.12	121	27.610903	9.0112
1835017	1.76	5.16	162	57.684177	37.942402
1835018	1.76	5.2	171	55.9403	27.5616
1835019	1.76	5.24	159	49.683365	23.7952
1835020	1.76	5.28	121	25.352613	7.0479999
1835021	1.76	5.32	114	23.753483	6.4015999
1835022	1.76	5.36	105	22.397604	6.1664
1835023	1.76	5.4	103	23.960836	7.0416002
1835024	1.76	5.44	100	25.66605	8.1183996
1835035	1.76	5.88	96	25.94153	10.0576
1835036	1.76	5.92	117	34.954933	15.296
1835037	1.76	5.96	253	291.51703	588.4624
1835038	1.76	6	281	339.24445	694.93439
1835039	1.76	6.04	98	25.734337	10.1456
1835040	1.76	6.08	91	23.990833	9.1087999
1835052	1.76	6.56	124	37.176418	14.7504
1835053	1.76	6.6	275	204.99234	273.18719
1835054	1.76	6.64	325	330.60281	615.20319
1835055	1.76	6.68	340	358.13306	670.29279
1835056	1.76	6.72	308	307.33923	568.32642
1835057	1.76	6.76	278	211.53795	287.45441
1835058	1.76	6.8	122	36.062725	15.272
1835059	1.76	6.84	91	21.8431	6.4784002
1835060	1.76	6.88	33	5.4359469	1.2496001
1835061	1.76	6.92	46	9.0090227	2.5552001
1835062	1.76	6.96	59	12.71044	3.8271999
1835063	1.76	7	35	5.8348846	1.3552001
1835064	1.76	7.04	97	23.469893	7.3104
1835065	1.76	7.08	108	28.393246	11.2704
1835066	1.76	7.12	141	50.746086	30.087999
1835067	1.76	7.16	132	44.860577	25.608
1835068	1.76	7.2	108	29.933138	13.9648
1835069	1.76	7.24	88	19.7896	5.7328
1835071	1.76	7.32	80	16.159086	3.9935999
1835072	1.76	7.36	85	15.91521	3.8144
1835073	1.76	7.4	88	15.695617	3.5072
1835074	1.76	7.44	90	16.425106	3.7872
1835075	1.76	7.48	85	15.936421	3.8080001
1835076	1.76	7.52	82	17.138847	4.4752002
1835078	1.76	7.6	82	24.284025	12.528
1835079	1.76	7.64	98	34.506317	21.625601
1835080	1.76	7.68	110	41.497154	26.8256
1835081	1.76	7.72	106	38.104664	22.912001
1835082	1.76	7.76	86	22.483219	8.5567999
1900549	1.8	5	100	26.4561	8.6496
1900550	1.8	5.04	102	23.898556	6.9679999
1900551	1.8	5.08	110	24.664074	6.9856
1900552	1.8	5.12	129	34.880669	14.5136
1900553	1.8	5.16	161	56.145508	34.743999
1900554	1.8	5.2	171	56.466873	28.131201
1900555	1.8	5.24	160	50.736176	24.6336
1900556	1.8	5.28	127	29.618959	9.6831999
1900557	1.8	5.32	110	22.760733	5.9359999
1900558	1.8	5.36	104	22.435322	6.0544
1900559	1.8	5.4	101	23.589909	6.8319998
1900560	1.8	5.44	99	25.783669	8.1775999
1900571	1.8	5.88	98	28.379307	11.672
1900572	1.8	5.92	110	31.884623	13.44
1900573	1.8	5.96	255	287.25287	568.5968
1900574	1.8	6	282	334.46167	672.2688
1900575	1.8	6.04	99	27.694965	11.672
1900576	1.8	6.08	90	25.715246	10.8512
1900588	1.8	6.56	111	31.011696	11.2704
1900589	1.8	6.6	277	199.17665	257.48639
1900590	1.8	6.64	327	325.68964	598.82562
1900591	1.8	6.68	344	355.06354	655.96802
1900592	1.8	6.72	313	301.82709	547.06079
1900593	1.8	6.76	276	203.60538	270.92801
1900594	1.8	6.8	112	32.74004	14.088
1900595	1.8	6.84	88	22.689419	7.4496002
1900596	1.8	6.88	35	5.268044	1.056
1900597	1.8	6.92	47	9.388896	2.8064001
1900598	1.8	6.96	58	12.74391	4.0496001
1900599	1.8	7	39	6.6145105	1.512
1900600	1.8	7.04	114	33.698605	13.3504
1900601	1.8	7.08	128	40.336849	18.996799
