Ref	x	y	Connectivity	Point First Moment	Point Second Moment
458766	0.92	5.36	154	52.546402	23.444799
458767	0.92	5.4	148	49.678761	20.870399
458768	0.92	5.44	148	51.960201	22.4608
458769	0.92	5.48	146	53.062256	22.820801
458793	0.92	6.44	39	6.8312845	1.576
458794	0.92	6.48	63	21.049376	11.9184
458795	0.92	6.52	61	18.974976	10.8656
458796	0.92	6.56	43	6.1693482	1.2431999
458797	0.92	6.6	39	5.2229948	0.87840003
458798	0.92	6.64	34	4.710113	0.78399998
458800	0.92	6.72	23	2.7589223	0.44319999
458801	0.92	6.76	26	3.3965585	0.60159999
458802	0.92	6.8	50	20.402479	15.1504
458808	0.92	7.04	86	18.348515	4.9503999
458809	0.92	7.08	85	16.344223	4.1072001
458810	0.92	7.12	132	54.408939	39.214401
458811	0.92	7.16	124	49.052952	35.003201
458812	0.92	7.2	87	18.252306	5.7312002
458813	0.92	7.24	82	16.702732	4.2672
458815	0.92	7.32	75	13.818519	3.0064001
458816	0.92	7.36	74	11.961161	2.296
458817	0.92	7.4	71	10.338152	1.7664
458818	0.92	7.44	74	11.186681	2.0128
458819	0.92	7.48	75	12.361161	2.4560001
458820	0.92	7.52	75	13.795877	2.9888
458822	0.92	7.6	73	15.458254	4.5840001
458823	0.92	7.64	96	32.269508	18.8832
458824	0.92	7.68	106	38.398075	23.4496
458825	0.92	7.72	96	30.719749	16.9056
458826	0.92	7.76	77	16.528574	4.6464
524296	0.96	5.12	170	65.611618	31.686399
524297	0.96	5.16	185	80.567383	52.260799
524298	0.96	5.2	190	87.514908	65.3424
524299	0.96	5.24	178	72.879311	49.139198
524300	0.96	5.28	165	55.563362	27.107201
524301	0.96	5.32	158	49.380257	21.0224
524302	0.96	5.36	154	47.384045	19.467199
524303	0.96	5.4	154	49.08913	20.5168
524304	0.96	5.44	147	46.757408	18.3888
524305	0.96	5.48	147	49.904499	20.448
524329	0.96	6.44	39	6.4416518	1.3728
524330	0.96	6.48	46	7.9989877	2.0544
524331	0.96	6.52	66	20.554316	11.4752
524332	0.96	6.56	45	6.0541601	1.128
524333	0.96	6.6	43	5.1857195	0.75040001
524334	0.96	6.64	41	5.1097188	0.75199997
524335	0.96	6.68	41	5.6790199	0.94400001
524336	0.96	6.72	37	5.1659374	0.93440002
524337	0.96	6.76	36	5.5656357	1.1727999
524338	0.96	6.8	62	24.947359	17.566401
524344	0.96	7.04	83	17.354012	4.5071998
524345	0.96	7.08	85	16.445538	4.0672002
524346	0.96	7.12	132	53.135281	36.686401
524347	0.96	7.16	125	48.64756	33.326401
524348	0.96	7.2	84	16.055588	3.9375999
524349	0.96	7.24	81	16.333506	4.0256
524351	0.96	7.32	74	13.893401	3.1024001
524352	0.96	7.36	71	11.475163	2.2272
524353	0.96	7.4	71	10.798904	1.9967999
524354	0.96	7.44	71	10.798904	1.9967999
