Ref	x1	y1	x2	y2	Connectivity	Line Length
280	530406.734043	184768.71716	530476.74297	184939.450519	2	184.52948
281	531070.732747	185471.568523	531173.366327	185528.106492	2	117.17591
282	531054.947555	184568.105455	531230.772586	184476.728485	3	198.15195
283	533270.701887	183269.704674	533995.226148	183104.47889	8	743.12512
284	533457.921448	183355.764288	533604.573756	183337.034753	3	147.84348
285	533511.624314	183701.926679	533530.131552	183207.819313	5	494.45386
286	533572.342952	183331.843845	533646.798158	183366.158863	3	81.982307
287	533576.567617	183343.107265	533612.252246	183262.832514	3	87.848892
288	533597.456849	183274.783083	533791.716865	183232.153296	3	198.88251
289	533594.791129	183152.211723	533751.821496	183555.697392	7	432.96561
290	533642.492107	183366.593004	533810.382168	183285.028513	3	186.65433
291	533787.228453	183229.014949	533810.053185	183285.809776	3	61.209644
292	533800.574266	183267.181171	534074.33864	183151.426975	5	297.2305
293	534009.982255	183174.663224	534046.822896	183281.623817	2	113.12737
294	533363.7017	183552.296365	534121.646703	183249.402658	10	816.2262
295	533655.853794	183510.445932	533729.818734	183943.358112	4	439.18533
296	533589.946866	183532.48916	533776.00052	183477.77576	2	193.93173
297	533611.481324	183601.833701	533673.02611	183583.182025	3	64.308983
298	533576.613253	183560.102626	533626.168001	183607.868539	2	68.827721
299	533617.880948	183589.176602	533661.093042	183990.08783	4	403.23331
300	533444.467532	183702.258531	533851.451454	183685.651865	7	407.3226
301	533847.710281	183672.872952	533871.517605	183910.504985	7	238.82162
302	533838.522437	183688.479385	534004.029918	183563.923552	7	207.13977
303	533925.207623	183526.653856	533958.745975	183605.180913	1	85.389229
304	533207.325575	183960.304964	533517.743221	183803.863123	4	347.61066
305	533404.613467	183963.247494	533873.564387	183908.173141	9	472.17386
306	533738.730645	183513.06696	533801.880965	183932.408424	6	424.06982
307	533794.992702	183931.310648	534224.474603	183709.212763	11	483.51025
308	533968.092403	183836.668115	534457.72329	183610.329606	10	539.41406
309	534199.883601	183736.62557	534202.663279	183619.229654	5	117.42882
310	534147.361737	183647.456398	534229.355471	183720.549685	5	109.84353
311	533972.743724	183722.368537	534164.786549	183659.704473	4	202.008
312	533972.594317	183472.65139	534057.983991	183796.686166	9	335.09689
313	533880.967657	183491.655579	534001.148439	183474.218692	3	121.43914
314	533865.838452	183444.240875	533966.864912	183378.048841	2	120.77968
315	533869.845916	183438.826556	533882.48274	183493.213425	2	55.835659
316	533835.312059	183102.569364	534020.104195	183633.953815	10	562.59894
317	534014.669713	183645.849032	534037.544378	183637.694015	1	24.284863
318	533931.336857	183816.755233	533950.547856	183857.804894	2	45.32259
319	533918.1613	183808.525385	533937.496942	183822.85296	2	24.065462
320	533856.278232	183825.227352	533926.154582	183808.519327	2	71.8461
321	533961.173903	183590.83827	534379.574955	183474.228476	6	434.34695
322	534350.088555	183462.429267	534369.026017	183662.818101	4	201.28168
323	534101.850875	183248.196611	534369.70918	183492.811601	5	362.74588
324	533990.933559	183559.620921	534331.737103	183358.328008	3	395.81042
325	533948.953082	183438.148567	533982.60772	183426.774957	1	35.524551
326	534135.779962	183532.618397	534173.387016	183618.044094	3	93.337242
327	534148.995999	183666.60752	534163.112597	183584.429032	4	83.382149
328	534150.171418	183586.619216	534211.440101	183638.294124	4	80.15078
329	534198.822923	183637.876087	534362.763695	183567.208368	3	178.52312
330	533977.45538	183110.29529	534133.053441	183026.715223	2	176.62498
331	534027.251348	183070.743173	534147.809166	183304.847068	4	263.32266
332	533751.050565	183628.660294	533798.052098	183627.677537	2	47.011806
333	533784.854581	183565.242321	533797.146736	183629.349268	1	65.274788
334	533737.906423	183549.385586	533837.486192	183518.291973	3	104.32134
335	533773.77426	183381.348296	533894.426477	183654.481548	3	298.5946
336	533851.615179	183743.233739	533919.566465	183732.179943	2	68.84449
337	533913.491248	183700.922309	533923.319298	183760.218021	3	60.104675
338	533907.706166	183707.293901	533977.945511	183694.847607	2	71.333557
339	533975.069147	183692.492641	533985.637771	183747.627875	3	56.139023
340	533915.109567	183756.444407	533991.565242	183743.77091	2	77.498955
341	533943.085985	183201.548147	533980.63292	183307.825135	2	112.71455
342	533567.334441	183694.694167	533580.779713	183958.953461	2	264.6011
343	533281.590018	184813.90419	533299.34	184222.454929	10	591.71558
344	533203.504476	184131.512968	533448.516179	184142.247827	6	245.24675
345	533355.566737	184507.139752	533425.55373	183189.45307	10	1319.5439
346	533416.285375	184137.056918	533490.740581	184171.371937	3	81.982307
347	533420.51004	184148.320338	533456.19467	184068.045587	3	87.848892
348	533443.209115	184079.783606	533637.469131	184037.153819	3	198.88251
349	533407.865187	183878.109292	533595.763919	184360.910466	7	518.07617
350	533486.43453	184171.806078	533654.324591	184090.241587	3	186.65433
351	533631.170876	184034.228023	533653.995608	184091.022849	3	61.209644
352	533644.516689	184072.394244	533918.281063	183956.640049	5	297.2305
353	533853.924678	183979.876298	533890.765319	184086.836891	2	113.12737
354	533264.553798	184336.433171	533965.589126	184054.615732	11	755.56042
355	533499.796217	184315.659006	533573.761157	184748.571185	5	439.18533
356	533433.88929	184337.702234	533619.942943	184282.988833	3	193.93173
357	533455.423747	184407.046775	533516.968533	184388.395099	3	64.308983
358	533420.555676	184365.315699	533470.110424	184413.081613	2	68.827721
359	533461.823371	184394.389676	533505.035465	184795.300904	4	403.23331
360	533288.409955	184507.471605	533695.393878	184490.864939	8	407.3226
361	533691.652704	184478.086026	533715.460028	184715.718059	7	238.82162
362	533682.46486	184493.692459	533847.972341	184369.136626	7	207.13977
363	533769.150046	184331.86693	533802.688398	184410.393987	1	85.389229
364	533280.174611	184638.111522	533369.903983	184629.701356	2	90.122643
365	533248.55589	184768.460568	533717.50681	184713.386214	11	472.17386
366	533582.673068	184318.280034	533645.823388	184737.621498	6	424.06982
367	533638.935125	184736.523722	534121.003937	184485.225527	11	543.63696
368	534043.826024	184541.838644	534046.605702	184424.442728	4	117.42882
369	533991.30416	184452.669472	534073.297894	184525.762759	4	109.84353
370	533816.686147	184527.581611	534008.728972	184464.917547	4	202.008
371	533816.53674	184277.864464	533901.926415	184601.899239	9	335.09689
372	533724.91008	184296.868652	533845.090862	184279.431766	3	121.43914
373	533709.780875	184249.453948	533810.807335	184183.261915	2	120.77968
374	533713.788339	184244.03963	533726.425163	184298.426499	2	55.835659
375	533679.254482	183907.782438	533864.046618	184439.166889	10	562.59894
